GEOID,amin_asian_nhpi_other_vap_20,white_black_amin_other_vap_20,black_asian_nhpi_other_vap_20,black_amin_nhpi_other_vap_20,white_black_amin_asian_nhpi_vap_20,white_black_asian_other_vap_20,black_asian_nhpi_vap_20,five_races_vap_20,white_black_asian_nhpi_vap_20,white_black_amin_asian_nhpi_other_vap_20,six_races_vap_20,two_or_more_races_vap_20,asian_vap_20,black_nhpi_vap_20,amin_vap_20,black_asian_vap_20,white_black_nhpi_vap_20,other_vap_20,nhpi_vap_20,black_other_vap_20,black_amin_nhpi_vap_20,white_nhpi_vap_20,three_races_vap_20,one_race_vap_20,white_black_amin_nhpi_vap_20,nhpi_other_vap_20,black_amin_asian_vap_20,total_vap_20,white_asian_vap_20,black_amin_vap_20,white_black_asian_vap_20,black_vap_20,white_black_amin_vap_20,black_amin_other_vap_20,white_vap_20,white_other_vap_20,black_amin_asian_nhpi_vap_20,asian_nhpi_other_vap_20,white_asian_nhpi_vap_20,two_races_vap_20,amin_other_vap_20,black_amin_asian_nhpi_other_vap_20,white_asian_nhpi_other_vap_20,amin_nhpi_other_vap_20,amin_nhpi_vap_20,white_amin_other_vap_20,white_black_amin_asian_vap_20,white_nhpi_other_vap_20,white_amin_vap_20,asian_other_vap_20,black_amin_asian_other_vap_20,four_races_vap_20,asian_nhpi_vap_20,white_asian_other_vap_20,white_black_vap_20,black_nhpi_other_vap_20,white_black_other_vap_20,white_black_amin_nhpi_other_vap_20,white_amin_asian_nhpi_vap_20,white_black_nhpi_other_vap_20,black_asian_other_vap_20,white_black_amin_asian_other_vap_20,amin_asian_vap_20,white_amin_asian_nhpi_other_vap_20,white_amin_nhpi_other_vap_20,amin_asian_other_vap_20,white_amin_nhpi_vap_20,white_amin_asian_vap_20,white_black_asian_nhpi_other_vap_20,white_amin_asian_other_vap_20,amin_asian_nhpi_vap_20
13001,0,2,1,0,0,0,0,0,4,0,0,366,110,0,68,3,0,673,1,0,0,6,15,13592,3,0,0,13958,15,12,2,2441,5,0,10299,141,0,0,0,340,5,0,0,0,0,2,0,0,95,0,1,11,0,0,63,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
13003,0,0,0,0,5,0,0,5,0,0,0,428,12,0,51,2,0,656,3,0,0,4,20,5701,0,1,5,6129,5,11,0,907,0,0,4072,310,0,0,1,401,0,0,0,0,0,5,2,0,60,3,0,2,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13005,0,0,0,0,0,0,0,0,0,0,0,272,33,0,14,0,0,352,4,0,0,0,8,8038,0,0,0,8310,4,10,1,1174,0,0,6461,115,0,0,0,264,0,0,0,0,0,6,0,0,76,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13007,0,4,0,0,0,0,0,0,0,2,2,65,18,1,0,7,0,34,0,3,0,0,7,2210,0,0,2,2275,0,4,0,907,0,0,1251,20,0,0,0,50,0,0,1,0,0,3,0,2,13,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13009,0,0,0,0,0,0,0,1,2,0,0,856,486,0,71,9,8,521,20,27,0,4,36,34876,4,1,0,35732,51,34,3,14233,10,0,19545,274,0,0,3,812,2,0,0,0,1,0,0,0,234,0,0,7,0,2,175,0,9,0,0,0,0,1,0,0,1,0,0,1,0,0,0
13011,0,4,0,0,0,0,0,0,0,0,0,570,157,0,78,0,0,335,11,5,0,0,14,13330,0,0,0,13900,16,0,0,312,7,2,12437,258,0,0,0,545,3,0,0,0,0,0,2,0,234,0,0,11,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,1,0,5,0
13013,0,0,1,0,3,1,9,3,0,0,0,4165,2397,6,286,21,0,3287,17,129,0,20,177,58030,1,4,1,62195,175,45,10,7566,60,5,44477,2126,0,0,9,3977,50,0,0,1,1,51,2,0,1021,12,0,8,15,5,338,1,21,0,1,2,0,0,14,0,0,0,1,3,0,0,0
13015,0,21,0,0,0,0,2,6,0,2,2,4941,952,4,394,32,2,3510,25,82,0,24,194,78629,0,2,1,83570,162,52,9,8656,67,0,65092,2088,0,0,0,4712,54,0,0,0,0,74,3,0,1767,11,0,27,17,8,417,0,21,0,0,0,0,6,0,0,3,0,8,2,0,0,0
13017,0,0,0,0,0,0,0,0,0,0,0,472,91,0,58,0,0,365,0,6,0,0,31,12693,0,5,7,13165,18,18,0,4608,8,4,7571,175,0,0,0,441,0,0,0,0,0,7,0,0,127,0,0,0,0,0,92,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0
13019,0,0,0,0,0,0,0,0,0,0,0,573,63,0,34,0,2,302,4,15,0,0,28,13117,0,2,0,13690,10,12,0,1406,19,0,11308,221,0,0,3,545,0,0,0,0,0,0,0,0,234,2,0,0,4,2,45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
