GEOID,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13001,13138.0,9914.0,2418.0,41.0,87.0,0.0,248.0,430.0,9815.0,441.0
13003,5249.0,3799.0,1029.0,0.0,0.0,0.0,278.0,143.0,3573.0,554.0
13005,8028.0,6471.0,1095.0,7.0,0.0,0.0,132.0,323.0,6395.0,307.0
13007,2243.0,1221.0,805.0,0.0,152.0,0.0,0.0,65.0,1213.0,11.0
13009,34940.0,19381.0,14089.0,27.0,338.0,81.0,293.0,731.0,19121.0,788.0
13011,14183.0,12954.0,268.0,16.0,143.0,0.0,238.0,564.0,12933.0,450.0
13013,60983.0,45345.0,8404.0,183.0,2133.0,0.0,1635.0,3283.0,43800.0,5008.0
13015,82320.0,66531.0,9332.0,29.0,478.0,65.0,1823.0,4062.0,64612.0,5357.0
13017,12561.0,7577.0,4651.0,44.0,39.0,0.0,103.0,147.0,7338.0,400.0
13019,13770.0,11579.0,1480.0,0.0,26.0,6.0,163.0,516.0,11331.0,614.0
13021,115473.0,46447.0,61345.0,114.0,1769.0,102.0,1689.0,4007.0,45490.0,2908.0
13023,9859.0,6987.0,2468.0,21.0,44.0,0.0,141.0,198.0,6882.0,326.0
13025,13785.0,12839.0,391.0,0.0,27.0,0.0,135.0,393.0,12832.0,164.0
13027,12706.0,7677.0,4189.0,9.0,101.0,13.0,271.0,446.0,7387.0,634.0
13029,32358.0,23964.0,4478.0,68.0,674.0,17.0,1137.0,2020.0,23500.0,2249.0
13031,63345.0,42085.0,17452.0,155.0,695.0,30.0,466.0,2462.0,41632.0,1837.0
13033,18110.0,9442.0,8023.0,24.0,96.0,0.0,92.0,433.0,9241.0,357.0
13035,20551.0,13628.0,5796.0,13.0,0.0,0.0,171.0,943.0,13511.0,505.0
13037,4545.0,1589.0,2762.0,0.0,11.0,0.0,30.0,153.0,1583.0,84.0
13039,42271.0,30811.0,7717.0,73.0,575.0,50.0,509.0,2536.0,30055.0,2758.0
13043,7546.0,5221.0,1818.0,103.0,11.0,0.0,100.0,293.0,5166.0,293.0
13045,88713.0,66137.0,17998.0,145.0,571.0,0.0,1208.0,2654.0,64972.0,3243.0
13047,52577.0,47854.0,1342.0,22.0,708.0,37.0,516.0,2098.0,47481.0,1554.0
13049,10001.0,5649.0,2651.0,75.0,92.0,0.0,167.0,1367.0,5584.0,1315.0
13051,225600.0,117699.0,87088.0,436.0,4766.0,197.0,5182.0,10232.0,114356.0,11842.0
13053,7324.0,4392.0,1422.0,104.0,290.0,31.0,405.0,680.0,3978.0,1346.0
13055,19088.0,16002.0,2167.0,39.0,8.0,0.0,149.0,723.0,15960.0,350.0
13057,195554.0,163487.0,13382.0,419.0,3658.0,84.0,3489.0,11035.0,159987.0,13026.0
13059,100009.0,64051.0,25512.0,177.0,2897.0,0.0,1758.0,5614.0,62416.0,5807.0
13061,2292.0,967.0,1305.0,0.0,0.0,0.0,0.0,20.0,963.0,4.0
13063,198279.0,24244.0,147835.0,497.0,8098.0,194.0,6849.0,10562.0,20651.0,15268.0
13065,4713.0,3428.0,1038.0,80.0,5.0,0.0,4.0,158.0,3374.0,63.0
13067,533254.0,303815.0,152895.0,1419.0,21306.0,266.0,18244.0,35309.0,295374.0,43067.0
13069,30540.0,19656.0,9047.0,49.0,150.0,0.0,142.0,1496.0,19120.0,1726.0
13071,30613.0,20291.0,7574.0,174.0,240.0,0.0,1393.0,941.0,19825.0,2471.0
13073,115628.0,81055.0,21854.0,194.0,4300.0,5.0,3031.0,5189.0,78036.0,7013.0
13075,12681.0,8572.0,3552.0,12.0,0.0,0.0,142.0,403.0,8405.0,476.0
13077,110241.0,82007.0,19901.0,445.0,1582.0,0.0,1546.0,4760.0,79860.0,6271.0
13079,9591.0,7139.0,2142.0,21.0,0.0,0.0,136.0,153.0,7069.0,246.0
13081,15235.0,8366.0,6371.0,5.0,122.0,0.0,13.0,358.0,8070.0,447.0
13083,12920.0,12035.0,221.0,2.0,108.0,0.0,10.0,544.0,11988.0,323.0
13085,22466.0,20660.0,339.0,15.0,176.0,0.0,116.0,1160.0,20378.0,872.0
13087,21253.0,11443.0,8922.0,51.0,198.0,0.0,186.0,453.0,11340.0,525.0
13089,529399.0,179049.0,289762.0,2202.0,22381.0,210.0,9743.0,26052.0,173786.0,25276.0
